DailySleepKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;contributors;day;timestamp
user1_dailysleep_20250402_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250402_1;89;{"deep_sleep":91,"rem_sleep":92,"total_sleep":93,"efficiency":95,"restfulness":80,"latency":85,"timing":94};2025-04-02;2025-04-02T04:00:00-04:00
user1_dailysleep_20250403_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250403_1;90;{"deep_sleep":92,"rem_sleep":89,"total_sleep":90,"efficiency":92,"restfulness":74,"latency":88,"timing":94};2025-04-03;2025-04-03T04:00:00-04:00
user1_dailysleep_20250404_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250404_1;87;{"deep_sleep":91,"rem_sleep":87,"total_sleep":91,"efficiency":93,"restfulness":67,"latency":91,"timing":88};2025-04-04;2025-04-04T04:00:00-04:00
user1_dailysleep_20250405_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250405_1;84;{"deep_sleep":89,"rem_sleep":92,"total_sleep":87,"efficiency":92,"restfulness":74,"latency":73,"timing":91};2025-04-05;2025-04-05T04:00:00-04:00
user1_dailysleep_20250406_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250406_1;89;{"deep_sleep":93,"rem_sleep":94,"total_sleep":89,"efficiency":90,"restfulness":71,"latency":84,"timing":95};2025-04-06;2025-04-06T04:00:00-04:00
user1_dailysleep_20250407_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250407_1;88;{"deep_sleep":93,"rem_sleep":94,"total_sleep":89,"efficiency":95,"restfulness":72,"latency":90,"timing":94};2025-04-07;2025-04-07T04:00:00-04:00
user1_dailysleep_20250408_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250408_1;90;{"deep_sleep":94,"rem_sleep":90,"total_sleep":86,"efficiency":93,"restfulness":75,"latency":87,"timing":95};2025-04-08;2025-04-08T04:00:00-04:00
user1_dailysleep_20250409_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250409_1;89;{"deep_sleep":92,"rem_sleep":92,"total_sleep":87,"efficiency":95,"restfulness":81,"latency":84,"timing":93};2025-04-09;2025-04-09T04:00:00-04:00
user1_dailysleep_20250410_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250410_1;84;{"deep_sleep":87,"rem_sleep":92,"total_sleep":91,"efficiency":90,"restfulness":72,"latency":74,"timing":92};2025-04-10;2025-04-10T04:00:00-04:00
user1_dailysleep_20250411_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250411_1;75;{"deep_sleep":76,"rem_sleep":81,"total_sleep":71,"efficiency":78,"restfulness":51,"latency":75,"timing":94};2025-04-11;2025-04-11T04:00:00-04:00
user1_dailysleep_20250412_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250412_1;74;{"deep_sleep":91,"rem_sleep":88,"total_sleep":70,"efficiency":88,"restfulness":57,"latency":74,"timing":55};2025-04-12;2025-04-12T04:00:00-04:00
user1_dailysleep_20250413_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250413_1;92;{"deep_sleep":91,"rem_sleep":92,"total_sleep":94,"efficiency":95,"restfulness":77,"latency":86,"timing":93};2025-04-13;2025-04-13T04:00:00-04:00
user1_dailysleep_20250414_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250414_1;87;{"deep_sleep":90,"rem_sleep":88,"total_sleep":89,"efficiency":91,"restfulness":66,"latency":90,"timing":94};2025-04-14;2025-04-14T04:00:00-04:00
user1_dailysleep_20250415_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250415_1;87;{"deep_sleep":91,"rem_sleep":89,"total_sleep":90,"efficiency":95,"restfulness":78,"latency":83,"timing":92};2025-04-15;2025-04-15T04:00:00-04:00
user1_dailysleep_20250416_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250416_1;86;{"deep_sleep":87,"rem_sleep":87,"total_sleep":85,"efficiency":89,"restfulness":69,"latency":86,"timing":92};2025-04-16;2025-04-16T04:00:00-04:00
user1_dailysleep_20250417_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250417_1;88;{"deep_sleep":91,"rem_sleep":89,"total_sleep":89,"efficiency":95,"restfulness":78,"latency":93,"timing":93};2025-04-17;2025-04-17T04:00:00-04:00
user1_dailysleep_20250418_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250418_1;88;{"deep_sleep":90,"rem_sleep":87,"total_sleep":91,"efficiency":89,"restfulness":66,"latency":86,"timing":90};2025-04-18;2025-04-18T04:00:00-04:00
user1_dailysleep_20250419_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250419_1;78;{"deep_sleep":84,"rem_sleep":89,"total_sleep":74,"efficiency":90,"restfulness":65,"latency":92,"timing":57};2025-04-19;2025-04-19T04:00:00-04:00
user1_dailysleep_20250420_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250420_1;86;{"deep_sleep":91,"rem_sleep":92,"total_sleep":92,"efficiency":88,"restfulness":74,"latency":83,"timing":90};2025-04-20;2025-04-20T04:00:00-04:00
user1_dailysleep_20250421_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250421_1;89;{"deep_sleep":89,"rem_sleep":93,"total_sleep":90,"efficiency":91,"restfulness":70,"latency":92,"timing":92};2025-04-21;2025-04-21T04:00:00-04:00
user1_dailysleep_20250422_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250422_1;89;{"deep_sleep":93,"rem_sleep":89,"total_sleep":92,"efficiency":95,"restfulness":77,"latency":92,"timing":93};2025-04-22;2025-04-22T04:00:00-04:00
user1_dailysleep_20250423_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250423_1;91;{"deep_sleep":92,"rem_sleep":91,"total_sleep":92,"efficiency":95,"restfulness":77,"latency":83,"timing":94};2025-04-23;2025-04-23T04:00:00-04:00
user1_dailysleep_20250424_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250424_1;83;{"deep_sleep":94,"rem_sleep":86,"total_sleep":85,"efficiency":87,"restfulness":62,"latency":75,"timing":94};2025-04-24;2025-04-24T04:00:00-04:00
user1_dailysleep_20250425_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250425_1;88;{"deep_sleep":92,"rem_sleep":94,"total_sleep":92,"efficiency":95,"restfulness":78,"latency":88,"timing":88};2025-04-25;2025-04-25T04:00:00-04:00
user1_dailysleep_20250426_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250426_1;82;{"deep_sleep":84,"rem_sleep":86,"total_sleep":77,"efficiency":82,"restfulness":56,"latency":93,"timing":94};2025-04-26;2025-04-26T04:00:00-04:00
user1_dailysleep_20250427_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250427_1;86;{"deep_sleep":89,"rem_sleep":93,"total_sleep":89,"efficiency":92,"restfulness":74,"latency":75,"timing":95};2025-04-27;2025-04-27T04:00:00-04:00
user1_dailysleep_20250428_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250428_1;79;{"deep_sleep":88,"rem_sleep":83,"total_sleep":69,"efficiency":93,"restfulness":62,"latency":92,"timing":55};2025-04-28;2025-04-28T04:00:00-04:00
user1_dailysleep_20250429_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250429_1;89;{"deep_sleep":92,"rem_sleep":90,"total_sleep":92,"efficiency":93,"restfulness":70,"latency":94,"timing":95};2025-04-29;2025-04-29T04:00:00-04:00
user1_dailysleep_20250430_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailysleep_20250430_1;88;{"deep_sleep":90,"rem_sleep":94,"total_sleep":93,"efficiency":95,"restfulness":75,"latency":92,"timing":93};2025-04-30;2025-04-30T04:00:00-04:00
