DailyActivityKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;active_calories;average_met_minutes;contributors;equivalent_walking_distance;high_activity_met_minutes;high_activity_time;inactivity_alerts;low_activity_met_minutes;low_activity_time;medium_activity_met_minutes;medium_activity_time;meters_to_target;non_wear_time;resting_time;sedentary_met_minutes;sedentary_time;steps;target_calories;target_meters;total_calories;day;timestamp
user1_dailyactivity_20250402_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250402_1;64;621;1.6;{"meet_daily_targets":64,"move_every_hour":76,"recovery_time":45,"stay_active":81,"training_frequency":63,"training_volume":58};8239;146;1066;2;186;4747;203;2347;261;511;14830;544;27644;10481;520;8500;2744;2025-04-02;2025-04-02T04:00:00-04:00
user1_dailyactivity_20250403_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250403_1;69;590;1.5;{"meet_daily_targets":71,"move_every_hour":82,"recovery_time":48,"stay_active":75,"training_frequency":71,"training_volume":63};6951;107;782;1;192;4893;170;1964;1549;317;16041;640;32553;8285;520;8500;2570;2025-04-03;2025-04-03T04:00:00-04:00
user1_dailyactivity_20250404_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250404_1;70;571;1.6;{"meet_daily_targets":79,"move_every_hour":83,"recovery_time":45,"stay_active":72,"training_frequency":81,"training_volume":68};8097;178;1301;1;210;5359;248;2866;403;450;15446;629;31994;10214;520;8500;2672;2025-04-04;2025-04-04T04:00:00-04:00
user1_dailyactivity_20250405_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250405_1;78;1592;2.0;{"meet_daily_targets":82,"move_every_hour":86,"recovery_time":49,"stay_active":89,"training_frequency":89,"training_volume":81};11389;124;910;1;173;4417;651;7513;0;541;12889;473;24039;7571;520;8500;3656;2025-04-05;2025-04-05T04:00:00-04:00
user1_dailyactivity_20250406_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250406_1;88;365;1.5;{"meet_daily_targets":83,"move_every_hour":96,"recovery_time":77,"stay_active":92,"training_frequency":90,"training_volume":93};7166;0;0;0;223;5706;177;2038;1334;131;16565;445;22648;9116;520;8500;2406;2025-04-06;2025-04-06T04:00:00-04:00
user1_dailyactivity_20250407_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250407_1;85;565;1.7;{"meet_daily_targets":90,"move_every_hour":84,"recovery_time":77,"stay_active":73,"training_frequency":96,"training_volume":94};7869;220;1610;1;190;4841;260;3003;631;0;14015;638;32416;9893;520;8500;2592;2025-04-07;2025-04-07T04:00:00-04:00
user1_dailyactivity_20250408_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250408_1;85;530;1.5;{"meet_daily_targets":94,"move_every_hour":72,"recovery_time":76,"stay_active":70,"training_frequency":98,"training_volume":89};7555;159;1161;2;239;6110;141;1630;945;91;15413;632;32161;9226;520;8500;2675;2025-04-08;2025-04-08T04:00:00-04:00
user1_dailyactivity_20250409_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250409_1;83;732;1.6;{"meet_daily_targets":98,"move_every_hour":71,"recovery_time":74,"stay_active":72,"training_frequency":98,"training_volume":87};7498;193;1410;2;248;6326;226;2608;1002;757;12967;628;31945;9466;520;8500;2692;2025-04-09;2025-04-09T04:00:00-04:00
user1_dailyactivity_20250410_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250410_1;82;632;1.5;{"meet_daily_targets":93,"move_every_hour":78,"recovery_time":74,"stay_active":68,"training_frequency":98,"training_volume":87};6928;83;607;1;232;5913;155;1791;1572;749;13075;686;34869;8330;520;8500;2736;2025-04-10;2025-04-10T04:00:00-04:00
user1_dailyactivity_20250411_1;user-1;user_1;2025-07-01T10:00:00Z;u1_dailyactivity_20250411_1;85;643;1.7;{"meet_daily_targets":95,"move_every_hour":65,"recovery_time":72,"stay_active":78,"training_frequency":98,"training_volume":84};6626;259;1895;3;267;6814;218;2518;1874;298;15894;573;29144;8332;520;8500;2664;2025-04-11;2025-04-11T04:00:00-04:00
