DailyActivityKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;active_calories;average_met_minutes;contributors;equivalent_walking_distance;high_activity_met_minutes;high_activity_time;inactivity_alerts;low_activity_met_minutes;low_activity_time;medium_activity_met_minutes;medium_activity_time;meters_to_target;non_wear_time;resting_time;sedentary_met_minutes;sedentary_time;steps;target_calories;target_meters;total_calories;day;timestamp
user_declining_dailyactivity_20250402_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250402_1;64;633;1.46;{"meet_daily_targets":62,"move_every_hour":75,"recovery_time":45,"stay_active":80,"training_frequency":61,"training_volume":56};7461;148;1086;2;171;4356;207;2391;1039;511;14830;552;28063;9491;520;8500;2703;2025-04-02;2025-04-02T04:00:00-04:00
user_declining_dailyactivity_20250403_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250403_1;69;555;1.38;{"meet_daily_targets":71,"move_every_hour":81,"recovery_time":48,"stay_active":74,"training_frequency":71,"training_volume":63};6473;100;735;1;181;4612;160;1847;2027;317;16041;650;33074;7715;520;8500;2607;2025-04-03;2025-04-03T04:00:00-04:00
user_declining_dailyactivity_20250404_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250404_1;71;551;1.50;{"meet_daily_targets":77,"move_every_hour":82,"recovery_time":45,"stay_active":71,"training_frequency":79,"training_volume":66};8409;172;1256;1;182;4652;240;2768;91;450;15446;643;32701;10608;520;8500;2562;2025-04-04;2025-04-04T04:00:00-04:00
user_declining_dailyactivity_20250405_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250405_1;79;1582;1.84;{"meet_daily_targets":80,"move_every_hour":85,"recovery_time":49,"stay_active":88,"training_frequency":88,"training_volume":79};11127;124;904;1;164;4189;647;7464;0;541;12889;484;24596;7397;520;8500;3634;2025-04-05;2025-04-05T04:00:00-04:00
user_declining_dailyactivity_20250406_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250406_1;86;333;1.33;{"meet_daily_targets":81,"move_every_hour":95,"recovery_time":77,"stay_active":91,"training_frequency":88,"training_volume":90};6585;0;0;0;192;4909;161;1860;1915;131;16565;454;23090;8377;520;8500;2314;2025-04-06;2025-04-06T04:00:00-04:00
user_declining_dailyactivity_20250407_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250407_1;83;542;1.53;{"meet_daily_targets":90,"move_every_hour":83,"recovery_time":77,"stay_active":71,"training_frequency":96,"training_volume":93};8060;211;1545;1;176;4499;250;2881;440;0;14015;654;33240;10133;520;8500;2540;2025-04-07;2025-04-07T04:00:00-04:00
user_declining_dailyactivity_20250408_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250408_1;80;543;1.41;{"meet_daily_targets":92,"move_every_hour":71,"recovery_time":76,"stay_active":68,"training_frequency":97,"training_volume":87};6931;163;1190;2;209;5343;145;1671;1569;91;15413;650;33066;8464;520;8500;2574;2025-04-08;2025-04-08T04:00:00-04:00
user_declining_dailyactivity_20250409_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250409_1;80;724;1.50;{"meet_daily_targets":96,"move_every_hour":70,"recovery_time":74,"stay_active":70,"training_frequency":96,"training_volume":84};6680;191;1395;2;230;5885;224;2580;1820;757;12967;645;32803;8433;520;8500;2806;2025-04-09;2025-04-09T04:00:00-04:00
user_declining_dailyactivity_20250410_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250410_1;81;574;1.35;{"meet_daily_targets":91,"move_every_hour":77,"recovery_time":74,"stay_active":66,"training_frequency":96,"training_volume":84};6926;75;551;1;230;5877;141;1626;1574;749;13075;704;35787;8328;520;8500;2541;2025-04-10;2025-04-10T04:00:00-04:00
user_declining_dailyactivity_20250411_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailyactivity_20250411_1;80;588;1.50;{"meet_daily_targets":91,"move_every_hour":63,"recovery_time":72,"stay_active":76,"training_frequency":94,"training_volume":79};6558;237;1734;3;257;6569;200;2304;1942;298;15894;595;30260;8247;520;8500;2573;2025-04-11;2025-04-11T04:00:00-04:00
