DaytimeStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_value;recovery_value;timestamp
user_declining_daytimestress_20250402_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_1;45;59;2025-04-02T08:00:00-04:00
user_declining_daytimestress_20250402_2;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_2;56;51;2025-04-02T09:00:00-04:00
user_declining_daytimestress_20250402_3;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_3;69;24;2025-04-02T10:00:00-04:00
user_declining_daytimestress_20250402_4;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_4;75;17;2025-04-02T11:00:00-04:00
user_declining_daytimestress_20250402_5;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_5;73;20;2025-04-02T12:00:00-04:00
user_declining_daytimestress_20250402_6;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_6;66;43;2025-04-02T13:00:00-04:00
user_declining_daytimestress_20250402_7;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_7;49;50;2025-04-02T14:00:00-04:00
user_declining_daytimestress_20250402_8;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250402_8;39;54;2025-04-02T15:00:00-04:00
user_declining_daytimestress_20250403_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250403_1;43;57;2025-04-03T08:00:00-04:00
user_declining_daytimestress_20250403_2;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250403_2;56;38;2025-04-03T09:00:00-04:00
user_declining_daytimestress_20250403_3;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250403_3;72;24;2025-04-03T10:00:00-04:00
user_declining_daytimestress_20250403_4;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_daytimestress_20250403_4;73;26;2025-04-03T11:00:00-04:00
