DailyActivityKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;active_calories;average_met_minutes;contributors;equivalent_walking_distance;high_activity_met_minutes;high_activity_time;inactivity_alerts;low_activity_met_minutes;low_activity_time;medium_activity_met_minutes;medium_activity_time;meters_to_target;non_wear_time;resting_time;sedentary_met_minutes;sedentary_time;steps;target_calories;target_meters;total_calories;day;timestamp
user_increasing_dailyactivity_20250402_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250402_1;51;512;1.40;{"meet_daily_targets":41,"move_every_hour":69,"recovery_time":47,"stay_active":71,"training_frequency":39,"training_volume":35};6841;120;879;4;153;3911;168;1935;1659;511;14830;637;32367;8702;520;8500;2586;2025-04-02;2025-04-02T04:00:00-04:00
user_increasing_dailyactivity_20250403_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250403_1;52;283;1.24;{"meet_daily_targets":49,"move_every_hour":74,"recovery_time":50,"stay_active":64,"training_frequency":49,"training_volume":35};5299;13;94;3;162;4133;60;687;3201;317;16041;752;38213;6316;520;8500;2280;2025-04-03;2025-04-03T04:00:00-04:00
user_increasing_dailyactivity_20250404_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250404_1;55;274;1.27;{"meet_daily_targets":58,"move_every_hour":76,"recovery_time":47,"stay_active":62,"training_frequency":59,"training_volume":40};6231;21;156;3;188;4790;87;1003;2269;450;15446;732;37203;7860;520;8500;2244;2025-04-04;2025-04-04T04:00:00-04:00
user_increasing_dailyactivity_20250405_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250405_1;66;478;1.40;{"meet_daily_targets":61,"move_every_hour":79,"recovery_time":51,"stay_active":79,"training_frequency":68,"training_volume":53};8872;15;109;3;149;3795;228;2630;0;541;12889;551;28023;5898;520;8500;2502;2025-04-05;2025-04-05T04:00:00-04:00
user_increasing_dailyactivity_20250406_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250406_1;72;293;1.31;{"meet_daily_targets":61,"move_every_hour":89,"recovery_time":79,"stay_active":82,"training_frequency":67,"training_volume":64};6008;0;0;2;199;5087;142;1633;2492;131;16565;517;26306;7643;520;8500;2304;2025-04-06;2025-04-06T04:00:00-04:00
user_increasing_dailyactivity_20250407_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250407_1;72;444;1.47;{"meet_daily_targets":68,"move_every_hour":77,"recovery_time":79,"stay_active":63,"training_frequency":73,"training_volume":65};6662;173;1264;3;165;4205;204;2357;1838;0;14015;739;37581;8376;520;8500;2535;2025-04-07;2025-04-07T04:00:00-04:00
user_increasing_dailyactivity_20250408_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250408_1;70;254;1.24;{"meet_daily_targets":74,"move_every_hour":65,"recovery_time":78,"stay_active":60,"training_frequency":78,"training_volume":62};5744;19;139;4;215;5502;49;571;2756;91;15413;738;37542;7014;520;8500;2336;2025-04-08;2025-04-08T04:00:00-04:00
user_increasing_dailyactivity_20250409_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250409_1;70;577;1.43;{"meet_daily_targets":78,"move_every_hour":64,"recovery_time":76,"stay_active":62,"training_frequency":78,"training_volume":60};5648;152;1111;4;208;5311;178;2054;2852;757;12967;730;37096;7130;520;8500;2595;2025-04-09;2025-04-09T04:00:00-04:00
user_increasing_dailyactivity_20250410_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250410_1;69;488;1.33;{"meet_daily_targets":73,"move_every_hour":71,"recovery_time":76,"stay_active":59,"training_frequency":78,"training_volume":61};6066;64;469;3;198;5045;120;1384;2434;749;13075;791;40241;7294;520;8500;2537;2025-04-10;2025-04-10T04:00:00-04:00
user_increasing_dailyactivity_20250411_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250411_1;68;530;1.47;{"meet_daily_targets":75,"move_every_hour":58,"recovery_time":74,"stay_active":69,"training_frequency":77,"training_volume":57};5392;213;1562;5;248;6326;180;2075;3108;298;15894;661;33604;6780;520;8500;2563;2025-04-11;2025-04-11T04:00:00-04:00
user_increasing_dailyactivity_20250412_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250412_1;77;1366;1.66;{"meet_daily_targets":76,"move_every_hour":79,"recovery_time":77,"stay_active":82,"training_frequency":79,"training_volume":61};8150;57;417;3;151;3848;485;5600;350;852;15670;522;26538;5690;520;8500;3337;2025-04-12;2025-04-12T04:00:00-04:00
user_increasing_dailyactivity_20250413_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250413_1;79;398;1.32;{"meet_daily_targets":77,"move_every_hour":91,"recovery_time":80,"stay_active":80,"training_frequency":79,"training_volume":55};6019;26;187;2;234;5986;137;1586;2481;677;10843;548;27864;7661;520;8500;2389;2025-04-13;2025-04-13T04:00:00-04:00
user_increasing_dailyactivity_20250414_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250414_1;73;442;1.46;{"meet_daily_targets":74,"move_every_hour":70,"recovery_time":78,"stay_active":71,"training_frequency":79,"training_volume":59};6655;162;1186;4;155;3969;199;2292;1845;34;12833;630;32048;8373;520;8500;2525;2025-04-14;2025-04-14T04:00:00-04:00
user_increasing_dailyactivity_20250415_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250415_1;70;469;1.35;{"meet_daily_targets":72,"move_every_hour":69,"recovery_time":79,"stay_active":69,"training_frequency":78,"training_volume":55};6059;69;503;4;197;5030;139;1604;2441;582;16402;654;33269;7244;520;8500;2506;2025-04-15;2025-04-15T04:00:00-04:00
user_increasing_dailyactivity_20250416_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250416_1;76;558;1.46;{"meet_daily_targets":79,"move_every_hour":81,"recovery_time":75,"stay_active":71,"training_frequency":80,"training_volume":60};7494;172;1259;3;219;5579;201;2314;1006;359;14041;657;33395;9510;520;8500;2565;2025-04-16;2025-04-16T04:00:00-04:00
user_increasing_dailyactivity_20250417_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250417_1;71;300;1.23;{"meet_daily_targets":75,"move_every_hour":65,"recovery_time":79,"stay_active":64,"training_frequency":78,"training_volume":61};5533;16;116;4;234;5977;47;544;2967;204;12575;733;37285;6705;520;8500;2340;2025-04-17;2025-04-17T04:00:00-04:00
user_increasing_dailyactivity_20250418_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyactivity_20250418_1;75;296;1.28;{"meet_daily_targets":76,"move_every_hour":71,"recovery_time":79,"stay_active":71,"training_frequency":79,"training_volume":61};6473;26;190;4;234;5982;93;1077;2027;191;17262;646;32853;8120;520;8500;2286;2025-04-18;2025-04-18T04:00:00-04:00
