DaytimeStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_value;recovery_value;timestamp
user_increasing_daytimestress_20250402_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_1;52;49;2025-04-02T08:00:00-04:00
user_increasing_daytimestress_20250402_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_2;68;37;2025-04-02T09:00:00-04:00
user_increasing_daytimestress_20250402_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_3;82;11;2025-04-02T10:00:00-04:00
user_increasing_daytimestress_20250402_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_4;79;5;2025-04-02T11:00:00-04:00
user_increasing_daytimestress_20250402_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_5;76;5;2025-04-02T12:00:00-04:00
user_increasing_daytimestress_20250402_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_6;72;25;2025-04-02T13:00:00-04:00
user_increasing_daytimestress_20250402_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_7;60;40;2025-04-02T14:00:00-04:00
user_increasing_daytimestress_20250402_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250402_8;52;42;2025-04-02T15:00:00-04:00
user_increasing_daytimestress_20250403_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_1;53;42;2025-04-03T08:00:00-04:00
user_increasing_daytimestress_20250403_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_2;61;28;2025-04-03T09:00:00-04:00
user_increasing_daytimestress_20250403_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_3;81;11;2025-04-03T10:00:00-04:00
user_increasing_daytimestress_20250403_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_4;86;9;2025-04-03T11:00:00-04:00
user_increasing_daytimestress_20250403_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_5;91;7;2025-04-03T12:00:00-04:00
user_increasing_daytimestress_20250403_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_6;73;22;2025-04-03T13:00:00-04:00
user_increasing_daytimestress_20250403_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_7;61;36;2025-04-03T14:00:00-04:00
user_increasing_daytimestress_20250403_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250403_8;61;27;2025-04-03T15:00:00-04:00
user_increasing_daytimestress_20250404_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_1;59;43;2025-04-04T08:00:00-04:00
user_increasing_daytimestress_20250404_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_2;67;25;2025-04-04T09:00:00-04:00
user_increasing_daytimestress_20250404_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_3;70;30;2025-04-04T10:00:00-04:00
user_increasing_daytimestress_20250404_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_4;90;17;2025-04-04T11:00:00-04:00
user_increasing_daytimestress_20250404_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_5;80;5;2025-04-04T12:00:00-04:00
user_increasing_daytimestress_20250404_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_6;74;21;2025-04-04T13:00:00-04:00
user_increasing_daytimestress_20250404_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_7;69;38;2025-04-04T14:00:00-04:00
user_increasing_daytimestress_20250404_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250404_8;55;39;2025-04-04T15:00:00-04:00
user_increasing_daytimestress_20250405_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250405_1;32;58;2025-04-05T08:00:00-04:00
user_increasing_daytimestress_20250405_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_daytimestress_20250405_2;60;36;2025-04-05T09:00:00-04:00
