SleepTimeKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;optimal_bedtime;day;timestamp
user_increasing_sleeptime_20250402_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250402_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-02;2025-04-02T04:00:00-04:00
user_increasing_sleeptime_20250403_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250403_1;{"day_tz":-14400,"start_offset":81360,"end_offset":84960};2025-04-03;2025-04-03T04:00:00-04:00
user_increasing_sleeptime_20250404_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250404_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-04;2025-04-04T04:00:00-04:00
user_increasing_sleeptime_20250405_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250405_1;{"day_tz":-14400,"start_offset":81660,"end_offset":85260};2025-04-05;2025-04-05T04:00:00-04:00
user_increasing_sleeptime_20250406_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250406_1;{"day_tz":-14400,"start_offset":81780,"end_offset":85380};2025-04-06;2025-04-06T04:00:00-04:00
user_increasing_sleeptime_20250407_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250407_1;{"day_tz":-14400,"start_offset":81120,"end_offset":84720};2025-04-07;2025-04-07T04:00:00-04:00
user_increasing_sleeptime_20250408_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250408_1;{"day_tz":-14400,"start_offset":82080,"end_offset":85680};2025-04-08;2025-04-08T04:00:00-04:00
user_increasing_sleeptime_20250409_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250409_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-09;2025-04-09T04:00:00-04:00
user_increasing_sleeptime_20250410_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250410_1;{"day_tz":-14400,"start_offset":81540,"end_offset":85140};2025-04-10;2025-04-10T04:00:00-04:00
user_increasing_sleeptime_20250411_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_sleeptime_20250411_1;{"day_tz":-14400,"start_offset":81360,"end_offset":84960};2025-04-11;2025-04-11T04:00:00-04:00
