TemperatureKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;skin_temp;timestamp
user_increasing_temperature_20250402_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_1;33.4;2025-04-02T08:00:00-04:00
user_increasing_temperature_20250402_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_2;33.6;2025-04-02T09:00:00-04:00
user_increasing_temperature_20250402_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_3;33.8;2025-04-02T10:00:00-04:00
user_increasing_temperature_20250402_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_4;34.0;2025-04-02T11:00:00-04:00
user_increasing_temperature_20250402_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_5;34.1;2025-04-02T12:00:00-04:00
user_increasing_temperature_20250402_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_6;34.2;2025-04-02T13:00:00-04:00
user_increasing_temperature_20250402_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_7;34.5;2025-04-02T14:00:00-04:00
user_increasing_temperature_20250402_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_8;34.5;2025-04-02T15:00:00-04:00
user_increasing_temperature_20250402_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_9;34.2;2025-04-02T16:00:00-04:00
user_increasing_temperature_20250402_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250402_10;33.9;2025-04-02T17:00:00-04:00
user_increasing_temperature_20250403_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_1;33.4;2025-04-03T08:00:00-04:00
user_increasing_temperature_20250403_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_2;33.7;2025-04-03T09:00:00-04:00
user_increasing_temperature_20250403_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_3;33.8;2025-04-03T10:00:00-04:00
user_increasing_temperature_20250403_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_4;34.2;2025-04-03T11:00:00-04:00
user_increasing_temperature_20250403_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_5;34.4;2025-04-03T12:00:00-04:00
user_increasing_temperature_20250403_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_6;34.5;2025-04-03T13:00:00-04:00
user_increasing_temperature_20250403_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_7;34.6;2025-04-03T14:00:00-04:00
user_increasing_temperature_20250403_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_8;34.4;2025-04-03T15:00:00-04:00
user_increasing_temperature_20250403_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_9;34.2;2025-04-03T16:00:00-04:00
user_increasing_temperature_20250403_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250403_10;34.2;2025-04-03T17:00:00-04:00
user_increasing_temperature_20250404_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_1;33.6;2025-04-04T08:00:00-04:00
user_increasing_temperature_20250404_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_2;33.5;2025-04-04T09:00:00-04:00
user_increasing_temperature_20250404_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_3;33.7;2025-04-04T10:00:00-04:00
user_increasing_temperature_20250404_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_4;33.9;2025-04-04T11:00:00-04:00
user_increasing_temperature_20250404_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_5;34.1;2025-04-04T12:00:00-04:00
user_increasing_temperature_20250404_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_6;34.1;2025-04-04T13:00:00-04:00
user_increasing_temperature_20250404_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_7;34.5;2025-04-04T14:00:00-04:00
user_increasing_temperature_20250404_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_8;34.3;2025-04-04T15:00:00-04:00
user_increasing_temperature_20250404_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_9;34.2;2025-04-04T16:00:00-04:00
user_increasing_temperature_20250404_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250404_10;33.9;2025-04-04T17:00:00-04:00
user_increasing_temperature_20250405_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_1;33.7;2025-04-05T08:00:00-04:00
user_increasing_temperature_20250405_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_2;33.7;2025-04-05T09:00:00-04:00
user_increasing_temperature_20250405_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_3;34.0;2025-04-05T10:00:00-04:00
user_increasing_temperature_20250405_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_4;34.1;2025-04-05T11:00:00-04:00
user_increasing_temperature_20250405_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_5;34.4;2025-04-05T12:00:00-04:00
user_increasing_temperature_20250405_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_6;34.3;2025-04-05T13:00:00-04:00
user_increasing_temperature_20250405_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_7;34.7;2025-04-05T14:00:00-04:00
user_increasing_temperature_20250405_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_8;34.5;2025-04-05T15:00:00-04:00
user_increasing_temperature_20250405_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_9;34.1;2025-04-05T16:00:00-04:00
user_increasing_temperature_20250405_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250405_10;33.9;2025-04-05T17:00:00-04:00
user_increasing_temperature_20250406_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_1;33.5;2025-04-06T08:00:00-04:00
user_increasing_temperature_20250406_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_2;33.7;2025-04-06T09:00:00-04:00
user_increasing_temperature_20250406_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_3;34.0;2025-04-06T10:00:00-04:00
user_increasing_temperature_20250406_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_4;34.1;2025-04-06T11:00:00-04:00
user_increasing_temperature_20250406_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_5;34.5;2025-04-06T12:00:00-04:00
user_increasing_temperature_20250406_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_6;34.6;2025-04-06T13:00:00-04:00
user_increasing_temperature_20250406_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_7;34.7;2025-04-06T14:00:00-04:00
user_increasing_temperature_20250406_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_8;34.5;2025-04-06T15:00:00-04:00
user_increasing_temperature_20250406_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_9;34.4;2025-04-06T16:00:00-04:00
user_increasing_temperature_20250406_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250406_10;34.1;2025-04-06T17:00:00-04:00
user_increasing_temperature_20250407_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_1;33.5;2025-04-07T08:00:00-04:00
user_increasing_temperature_20250407_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_2;33.7;2025-04-07T09:00:00-04:00
user_increasing_temperature_20250407_3;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_3;34.0;2025-04-07T10:00:00-04:00
user_increasing_temperature_20250407_4;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_4;33.9;2025-04-07T11:00:00-04:00
user_increasing_temperature_20250407_5;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_5;34.5;2025-04-07T12:00:00-04:00
user_increasing_temperature_20250407_6;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_6;34.3;2025-04-07T13:00:00-04:00
user_increasing_temperature_20250407_7;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_7;34.6;2025-04-07T14:00:00-04:00
user_increasing_temperature_20250407_8;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_8;34.5;2025-04-07T15:00:00-04:00
user_increasing_temperature_20250407_9;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_9;34.2;2025-04-07T16:00:00-04:00
user_increasing_temperature_20250407_10;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250407_10;34.0;2025-04-07T17:00:00-04:00
user_increasing_temperature_20250408_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250408_1;33.6;2025-04-08T08:00:00-04:00
user_increasing_temperature_20250408_2;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_temperature_20250408_2;33.8;2025-04-08T09:00:00-04:00
