DailyActivityKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;active_calories;average_met_minutes;contributors;equivalent_walking_distance;high_activity_met_minutes;high_activity_time;inactivity_alerts;low_activity_met_minutes;low_activity_time;medium_activity_met_minutes;medium_activity_time;meters_to_target;non_wear_time;resting_time;sedentary_met_minutes;sedentary_time;steps;target_calories;target_meters;total_calories;day;timestamp
user_mixed_dailyactivity_20250402_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250402_1;62;597;1.44;{"meet_daily_targets":61,"move_every_hour":75,"recovery_time":45,"stay_active":80,"training_frequency":59,"training_volume":54};8430;140;1025;2;172;4385;196;2258;70;511;14830;554;28171;10724;520;8500;2614;2025-04-02;2025-04-02T04:00:00-04:00
user_mixed_dailyactivity_20250403_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250403_1;67;584;1.40;{"meet_daily_targets":68,"move_every_hour":81,"recovery_time":48,"stay_active":74,"training_frequency":68,"training_volume":60};7171;106;774;1;167;4252;169;1945;1329;317;16041;654;33238;8547;520;8500;2576;2025-04-03;2025-04-03T04:00:00-04:00
user_mixed_dailyactivity_20250404_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250404_1;71;553;1.50;{"meet_daily_targets":77,"move_every_hour":82,"recovery_time":45,"stay_active":71,"training_frequency":79,"training_volume":65};7945;172;1259;1;195;4969;240;2773;555;450;15446;644;32736;10022;520;8500;2596;2025-04-04;2025-04-04T04:00:00-04:00
user_mixed_dailyactivity_20250405_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250405_1;77;1635;1.87;{"meet_daily_targets":80,"move_every_hour":84,"recovery_time":49,"stay_active":87,"training_frequency":88,"training_volume":79};10763;128;935;1;157;4005;669;7716;0;541;12889;487;24763;7155;520;8500;3632;2025-04-05;2025-04-05T04:00:00-04:00
user_mixed_dailyactivity_20250406_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250406_1;87;339;1.33;{"meet_daily_targets":81,"move_every_hour":94,"recovery_time":77,"stay_active":90,"training_frequency":88,"training_volume":90};6634;0;0;0;214;5458;164;1894;1866;131;16565;458;23308;8439;520;8500;2343;2025-04-06;2025-04-06T04:00:00-04:00
user_mixed_dailyactivity_20250407_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250407_1;85;535;1.53;{"meet_daily_targets":89,"move_every_hour":83,"recovery_time":77,"stay_active":72,"training_frequency":95,"training_volume":92};7208;209;1526;1;173;4422;247;2846;1292;0;14015;651;33113;9062;520;8500;2508;2025-04-07;2025-04-07T04:00:00-04:00
user_mixed_dailyactivity_20250408_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250408_1;83;521;1.40;{"meet_daily_targets":92,"move_every_hour":71,"recovery_time":76,"stay_active":68,"training_frequency":96,"training_volume":87};7733;156;1140;2;213;5426;139;1601;767;91;15413;648;32954;9443;520;8500;2506;2025-04-08;2025-04-08T04:00:00-04:00
user_mixed_dailyactivity_20250409_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250409_1;84;674;1.47;{"meet_daily_targets":97,"move_every_hour":70,"recovery_time":74,"stay_active":71,"training_frequency":98,"training_volume":86};7677;177;1297;2;240;6126;208;2400;823;757;12967;641;32588;9692;520;8500;2675;2025-04-09;2025-04-09T04:00:00-04:00
user_mixed_dailyactivity_20250410_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250410_1;81;613;1.36;{"meet_daily_targets":92,"move_every_hour":77,"recovery_time":74,"stay_active":67,"training_frequency":98,"training_volume":86};6712;80;589;1;206;5252;151;1738;1788;749;13075;702;35684;8070;520;8500;2583;2025-04-10;2025-04-10T04:00:00-04:00
user_mixed_dailyactivity_20250411_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250411_1;80;632;1.52;{"meet_daily_targets":93,"move_every_hour":64,"recovery_time":72,"stay_active":77,"training_frequency":96,"training_volume":82};6655;255;1864;3;235;5996;215;2477;1845;298;15894;584;29694;8369;520;8500;2664;2025-04-11;2025-04-11T04:00:00-04:00
user_mixed_dailyactivity_20250412_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250412_1;87;1602;1.74;{"meet_daily_targets":94,"move_every_hour":85,"recovery_time":75,"stay_active":90,"training_frequency":98,"training_volume":85};10055;67;489;1;160;4082;569;6567;0;852;15670;462;23479;7020;520;8500;3632;2025-04-12;2025-04-12T04:00:00-04:00
user_mixed_dailyactivity_20250413_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250413_1;88;463;1.34;{"meet_daily_targets":94,"move_every_hour":97,"recovery_time":78,"stay_active":88,"training_frequency":96,"training_volume":78};6320;30;218;0;260;6646;160;1847;2180;677;10843;484;24608;8044;520;8500;2519;2025-04-13;2025-04-13T04:00:00-04:00
user_mixed_dailyactivity_20250414_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250414_1;82;554;1.53;{"meet_daily_targets":89,"move_every_hour":75,"recovery_time":76,"stay_active":78,"training_frequency":94,"training_volume":80};7996;203;1487;2;180;4604;249;2874;504;34;12833;566;28774;10061;520;8500;2567;2025-04-14;2025-04-14T04:00:00-04:00
user_mixed_dailyactivity_20250415_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailyactivity_20250415_1;82;597;1.39;{"meet_daily_targets":87,"move_every_hour":74,"recovery_time":78,"stay_active":76,"training_frequency":92,"training_volume":74};6611;87;640;2;205;5223;177;2041;1889;582;16402;586;29819;7904;520;8500;2652;2025-04-15;2025-04-15T04:00:00-04:00
