DailySleepKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;contributors;day;timestamp
user_mixed_dailysleep_20250402_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250402_1;89;{"deep_sleep":90,"rem_sleep":89,"total_sleep":92,"efficiency":92,"restfulness":80,"latency":85,"timing":93};2025-04-02;2025-04-02T04:00:00-04:00
user_mixed_dailysleep_20250403_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250403_1;88;{"deep_sleep":91,"rem_sleep":89,"total_sleep":88,"efficiency":90,"restfulness":72,"latency":85,"timing":91};2025-04-03;2025-04-03T04:00:00-04:00
user_mixed_dailysleep_20250404_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250404_1;86;{"deep_sleep":90,"rem_sleep":86,"total_sleep":88,"efficiency":90,"restfulness":63,"latency":88,"timing":86};2025-04-04;2025-04-04T04:00:00-04:00
user_mixed_dailysleep_20250405_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250405_1;86;{"deep_sleep":86,"rem_sleep":90,"total_sleep":88,"efficiency":92,"restfulness":70,"latency":73,"timing":90};2025-04-05;2025-04-05T04:00:00-04:00
user_mixed_dailysleep_20250406_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250406_1;89;{"deep_sleep":93,"rem_sleep":95,"total_sleep":90,"efficiency":90,"restfulness":67,"latency":84,"timing":95};2025-04-06;2025-04-06T04:00:00-04:00
user_mixed_dailysleep_20250407_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250407_1;88;{"deep_sleep":94,"rem_sleep":92,"total_sleep":89,"efficiency":93,"restfulness":71,"latency":90,"timing":94};2025-04-07;2025-04-07T04:00:00-04:00
user_mixed_dailysleep_20250408_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250408_1;85;{"deep_sleep":92,"rem_sleep":88,"total_sleep":85,"efficiency":92,"restfulness":71,"latency":85,"timing":95};2025-04-08;2025-04-08T04:00:00-04:00
user_mixed_dailysleep_20250409_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250409_1;88;{"deep_sleep":89,"rem_sleep":89,"total_sleep":87,"efficiency":94,"restfulness":80,"latency":82,"timing":94};2025-04-09;2025-04-09T04:00:00-04:00
user_mixed_dailysleep_20250410_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250410_1;87;{"deep_sleep":85,"rem_sleep":90,"total_sleep":91,"efficiency":88,"restfulness":72,"latency":72,"timing":92};2025-04-10;2025-04-10T04:00:00-04:00
user_mixed_dailysleep_20250411_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250411_1;73;{"deep_sleep":75,"rem_sleep":81,"total_sleep":70,"efficiency":76,"restfulness":49,"latency":74,"timing":95};2025-04-11;2025-04-11T04:00:00-04:00
user_mixed_dailysleep_20250412_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250412_1;73;{"deep_sleep":91,"rem_sleep":86,"total_sleep":68,"efficiency":89,"restfulness":56,"latency":74,"timing":56};2025-04-12;2025-04-12T04:00:00-04:00
user_mixed_dailysleep_20250413_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250413_1;90;{"deep_sleep":89,"rem_sleep":91,"total_sleep":92,"efficiency":94,"restfulness":77,"latency":86,"timing":91};2025-04-13;2025-04-13T04:00:00-04:00
user_mixed_dailysleep_20250414_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250414_1;86;{"deep_sleep":89,"rem_sleep":86,"total_sleep":86,"efficiency":89,"restfulness":63,"latency":89,"timing":93};2025-04-14;2025-04-14T04:00:00-04:00
user_mixed_dailysleep_20250415_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250415_1;88;{"deep_sleep":88,"rem_sleep":86,"total_sleep":90,"efficiency":93,"restfulness":76,"latency":80,"timing":92};2025-04-15;2025-04-15T04:00:00-04:00
user_mixed_dailysleep_20250416_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250416_1;81;{"deep_sleep":85,"rem_sleep":84,"total_sleep":81,"efficiency":88,"restfulness":66,"latency":82,"timing":92};2025-04-16;2025-04-16T04:00:00-04:00
user_mixed_dailysleep_20250417_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250417_1;88;{"deep_sleep":87,"rem_sleep":86,"total_sleep":87,"efficiency":90,"restfulness":73,"latency":90,"timing":90};2025-04-17;2025-04-17T04:00:00-04:00
user_mixed_dailysleep_20250418_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250418_1;80;{"deep_sleep":87,"rem_sleep":82,"total_sleep":86,"efficiency":84,"restfulness":59,"latency":81,"timing":86};2025-04-18;2025-04-18T04:00:00-04:00
user_mixed_dailysleep_20250419_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250419_1;71;{"deep_sleep":79,"rem_sleep":82,"total_sleep":67,"efficiency":82,"restfulness":56,"latency":86,"timing":52};2025-04-19;2025-04-19T04:00:00-04:00
user_mixed_dailysleep_20250420_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250420_1;82;{"deep_sleep":85,"rem_sleep":88,"total_sleep":86,"efficiency":82,"restfulness":64,"latency":77,"timing":86};2025-04-20;2025-04-20T04:00:00-04:00
user_mixed_dailysleep_20250421_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250421_1;81;{"deep_sleep":84,"rem_sleep":86,"total_sleep":83,"efficiency":82,"restfulness":58,"latency":83,"timing":87};2025-04-21;2025-04-21T04:00:00-04:00
user_mixed_dailysleep_20250422_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250422_1;81;{"deep_sleep":87,"rem_sleep":82,"total_sleep":82,"efficiency":87,"restfulness":65,"latency":81,"timing":87};2025-04-22;2025-04-22T04:00:00-04:00
user_mixed_dailysleep_20250423_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250423_1;82;{"deep_sleep":84,"rem_sleep":82,"total_sleep":85,"efficiency":85,"restfulness":67,"latency":76,"timing":87};2025-04-23;2025-04-23T04:00:00-04:00
user_mixed_dailysleep_20250424_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250424_1;75;{"deep_sleep":86,"rem_sleep":81,"total_sleep":75,"efficiency":78,"restfulness":50,"latency":68,"timing":87};2025-04-24;2025-04-24T04:00:00-04:00
user_mixed_dailysleep_20250425_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250425_1;83;{"deep_sleep":86,"rem_sleep":89,"total_sleep":87,"efficiency":90,"restfulness":70,"latency":83,"timing":84};2025-04-25;2025-04-25T04:00:00-04:00
user_mixed_dailysleep_20250426_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250426_1;72;{"deep_sleep":78,"rem_sleep":80,"total_sleep":70,"efficiency":74,"restfulness":48,"latency":85,"timing":88};2025-04-26;2025-04-26T04:00:00-04:00
user_mixed_dailysleep_20250427_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250427_1;84;{"deep_sleep":84,"rem_sleep":89,"total_sleep":83,"efficiency":87,"restfulness":66,"latency":72,"timing":92};2025-04-27;2025-04-27T04:00:00-04:00
user_mixed_dailysleep_20250428_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250428_1;72;{"deep_sleep":83,"rem_sleep":81,"total_sleep":65,"efficiency":87,"restfulness":55,"latency":89,"timing":53};2025-04-28;2025-04-28T04:00:00-04:00
user_mixed_dailysleep_20250429_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250429_1;84;{"deep_sleep":91,"rem_sleep":87,"total_sleep":87,"efficiency":88,"restfulness":67,"latency":89,"timing":93};2025-04-29;2025-04-29T04:00:00-04:00
user_mixed_dailysleep_20250430_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250430_1;88;{"deep_sleep":90,"rem_sleep":92,"total_sleep":92,"efficiency":91,"restfulness":72,"latency":90,"timing":92};2025-04-30;2025-04-30T04:00:00-04:00
user_mixed_dailysleep_20250501_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250501_1;83;{"deep_sleep":82,"rem_sleep":85,"total_sleep":85,"efficiency":88,"restfulness":67,"latency":85,"timing":89};2025-05-01;2025-05-01T04:00:00-04:00
user_mixed_dailysleep_20250502_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250502_1;79;{"deep_sleep":91,"rem_sleep":82,"total_sleep":73,"efficiency":83,"restfulness":58,"latency":89,"timing":81};2025-05-02;2025-05-02T04:00:00-04:00
user_mixed_dailysleep_20250503_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250503_1;78;{"deep_sleep":82,"rem_sleep":84,"total_sleep":71,"efficiency":86,"restfulness":68,"latency":83,"timing":79};2025-05-03;2025-05-03T04:00:00-04:00
user_mixed_dailysleep_20250504_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250504_1;72;{"deep_sleep":83,"rem_sleep":82,"total_sleep":67,"efficiency":75,"restfulness":59,"latency":69,"timing":73};2025-05-04;2025-05-04T04:00:00-04:00
user_mixed_dailysleep_20250505_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250505_1;74;{"deep_sleep":87,"rem_sleep":78,"total_sleep":75,"efficiency":84,"restfulness":62,"latency":70,"timing":67};2025-05-05;2025-05-05T04:00:00-04:00
user_mixed_dailysleep_20250506_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250506_1;73;{"deep_sleep":87,"rem_sleep":79,"total_sleep":71,"efficiency":76,"restfulness":57,"latency":70,"timing":69};2025-05-06;2025-05-06T04:00:00-04:00
user_mixed_dailysleep_20250507_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250507_1;71;{"deep_sleep":84,"rem_sleep":76,"total_sleep":71,"efficiency":82,"restfulness":57,"latency":66,"timing":74};2025-05-07;2025-05-07T04:00:00-04:00
user_mixed_dailysleep_20250508_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250508_1;74;{"deep_sleep":80,"rem_sleep":79,"total_sleep":74,"efficiency":85,"restfulness":63,"latency":71,"timing":77};2025-05-08;2025-05-08T04:00:00-04:00
user_mixed_dailysleep_20250509_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250509_1;74;{"deep_sleep":79,"rem_sleep":83,"total_sleep":76,"efficiency":71,"restfulness":38,"latency":79,"timing":81};2025-05-09;2025-05-09T04:00:00-04:00
user_mixed_dailysleep_20250510_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250510_1;78;{"deep_sleep":78,"rem_sleep":85,"total_sleep":75,"efficiency":83,"restfulness":65,"latency":85,"timing":85};2025-05-10;2025-05-10T04:00:00-04:00
user_mixed_dailysleep_20250511_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250511_1;83;{"deep_sleep":88,"rem_sleep":85,"total_sleep":84,"efficiency":89,"restfulness":62,"latency":80,"timing":89};2025-05-11;2025-05-11T04:00:00-04:00
user_mixed_dailysleep_20250512_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250512_1;81;{"deep_sleep":90,"rem_sleep":87,"total_sleep":78,"efficiency":84,"restfulness":66,"latency":87,"timing":91};2025-05-12;2025-05-12T04:00:00-04:00
user_mixed_dailysleep_20250513_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250513_1;82;{"deep_sleep":85,"rem_sleep":85,"total_sleep":79,"efficiency":85,"restfulness":63,"latency":87,"timing":92};2025-05-13;2025-05-13T04:00:00-04:00
user_mixed_dailysleep_20250514_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250514_1;87;{"deep_sleep":83,"rem_sleep":85,"total_sleep":88,"efficiency":90,"restfulness":78,"latency":85,"timing":92};2025-05-14;2025-05-14T04:00:00-04:00
user_mixed_dailysleep_20250515_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250515_1;86;{"deep_sleep":89,"rem_sleep":87,"total_sleep":92,"efficiency":91,"restfulness":75,"latency":77,"timing":88};2025-05-15;2025-05-15T04:00:00-04:00
user_mixed_dailysleep_20250516_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250516_1;75;{"deep_sleep":82,"rem_sleep":83,"total_sleep":57,"efficiency":91,"restfulness":68,"latency":90,"timing":59};2025-05-16;2025-05-16T04:00:00-04:00
user_mixed_dailysleep_20250517_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250517_1;91;{"deep_sleep":89,"rem_sleep":94,"total_sleep":88,"efficiency":94,"restfulness":76,"latency":91,"timing":95};2025-05-17;2025-05-17T04:00:00-04:00
user_mixed_dailysleep_20250518_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250518_1;88;{"deep_sleep":91,"rem_sleep":89,"total_sleep":91,"efficiency":89,"restfulness":77,"latency":93,"timing":91};2025-05-18;2025-05-18T04:00:00-04:00
user_mixed_dailysleep_20250519_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250519_1;86;{"deep_sleep":86,"rem_sleep":93,"total_sleep":88,"efficiency":92,"restfulness":67,"latency":80,"timing":92};2025-05-19;2025-05-19T04:00:00-04:00
user_mixed_dailysleep_20250520_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250520_1;85;{"deep_sleep":92,"rem_sleep":84,"total_sleep":87,"efficiency":90,"restfulness":69,"latency":79,"timing":89};2025-05-20;2025-05-20T04:00:00-04:00
user_mixed_dailysleep_20250521_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250521_1;87;{"deep_sleep":91,"rem_sleep":92,"total_sleep":86,"efficiency":91,"restfulness":71,"latency":83,"timing":89};2025-05-21;2025-05-21T04:00:00-04:00
user_mixed_dailysleep_20250522_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250522_1;79;{"deep_sleep":87,"rem_sleep":87,"total_sleep":80,"efficiency":81,"restfulness":55,"latency":84,"timing":89};2025-05-22;2025-05-22T04:00:00-04:00
user_mixed_dailysleep_20250523_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250523_1;80;{"deep_sleep":80,"rem_sleep":84,"total_sleep":82,"efficiency":84,"restfulness":61,"latency":87,"timing":89};2025-05-23;2025-05-23T04:00:00-04:00
user_mixed_dailysleep_20250524_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250524_1;73;{"deep_sleep":72,"rem_sleep":87,"total_sleep":70,"efficiency":69,"restfulness":41,"latency":85,"timing":92};2025-05-24;2025-05-24T04:00:00-04:00
user_mixed_dailysleep_20250525_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250525_1;72;{"deep_sleep":74,"rem_sleep":85,"total_sleep":76,"efficiency":73,"restfulness":52,"latency":67,"timing":85};2025-05-25;2025-05-25T04:00:00-04:00
user_mixed_dailysleep_20250526_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250526_1;70;{"deep_sleep":69,"rem_sleep":80,"total_sleep":75,"efficiency":72,"restfulness":49,"latency":79,"timing":84};2025-05-26;2025-05-26T04:00:00-04:00
user_mixed_dailysleep_20250527_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250527_1;75;{"deep_sleep":74,"rem_sleep":85,"total_sleep":71,"efficiency":74,"restfulness":52,"latency":78,"timing":87};2025-05-27;2025-05-27T04:00:00-04:00
user_mixed_dailysleep_20250528_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250528_1;76;{"deep_sleep":77,"rem_sleep":83,"total_sleep":75,"efficiency":80,"restfulness":58,"latency":86,"timing":86};2025-05-28;2025-05-28T04:00:00-04:00
user_mixed_dailysleep_20250529_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250529_1;74;{"deep_sleep":81,"rem_sleep":84,"total_sleep":75,"efficiency":82,"restfulness":53,"latency":70,"timing":88};2025-05-29;2025-05-29T04:00:00-04:00
user_mixed_dailysleep_20250530_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250530_1;82;{"deep_sleep":83,"rem_sleep":87,"total_sleep":81,"efficiency":88,"restfulness":63,"latency":74,"timing":84};2025-05-30;2025-05-30T04:00:00-04:00
user_mixed_dailysleep_20250531_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250531_1;80;{"deep_sleep":86,"rem_sleep":88,"total_sleep":81,"efficiency":87,"restfulness":70,"latency":71,"timing":87};2025-05-31;2025-05-31T04:00:00-04:00
user_mixed_dailysleep_20250601_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250601_1;82;{"deep_sleep":86,"rem_sleep":86,"total_sleep":85,"efficiency":85,"restfulness":69,"latency":86,"timing":90};2025-06-01;2025-06-01T04:00:00-04:00
user_mixed_dailysleep_20250602_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250602_1;86;{"deep_sleep":86,"rem_sleep":88,"total_sleep":84,"efficiency":86,"restfulness":67,"latency":89,"timing":90};2025-06-02;2025-06-02T04:00:00-04:00
user_mixed_dailysleep_20250603_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250603_1;82;{"deep_sleep":83,"rem_sleep":88,"total_sleep":86,"efficiency":88,"restfulness":63,"latency":90,"timing":92};2025-06-03;2025-06-03T04:00:00-04:00
user_mixed_dailysleep_20250604_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250604_1;69;{"deep_sleep":80,"rem_sleep":81,"total_sleep":63,"efficiency":83,"restfulness":49,"latency":81,"timing":55};2025-06-04;2025-06-04T04:00:00-04:00
user_mixed_dailysleep_20250605_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250605_1;83;{"deep_sleep":86,"rem_sleep":90,"total_sleep":83,"efficiency":84,"restfulness":63,"latency":81,"timing":91};2025-06-05;2025-06-05T04:00:00-04:00
user_mixed_dailysleep_20250606_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250606_1;84;{"deep_sleep":85,"rem_sleep":86,"total_sleep":89,"efficiency":88,"restfulness":69,"latency":81,"timing":88};2025-06-06;2025-06-06T04:00:00-04:00
user_mixed_dailysleep_20250607_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250607_1;83;{"deep_sleep":89,"rem_sleep":89,"total_sleep":80,"efficiency":85,"restfulness":67,"latency":70,"timing":90};2025-06-07;2025-06-07T04:00:00-04:00
user_mixed_dailysleep_20250608_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_dailysleep_20250608_1;82;{"deep_sleep":88,"rem_sleep":81,"total_sleep":85,"efficiency":90,"restfulness":68,"latency":79,"timing":87};2025-06-08;2025-06-08T04:00:00-04:00
