DaytimeStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_value;recovery_value;timestamp
user_mixed_daytimestress_20250402_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_1;40;58;2025-04-02T08:00:00-04:00
user_mixed_daytimestress_20250402_2;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_2;55;44;2025-04-02T09:00:00-04:00
user_mixed_daytimestress_20250402_3;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_3;70;25;2025-04-02T10:00:00-04:00
user_mixed_daytimestress_20250402_4;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_4;73;20;2025-04-02T11:00:00-04:00
user_mixed_daytimestress_20250402_5;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_5;68;14;2025-04-02T12:00:00-04:00
user_mixed_daytimestress_20250402_6;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_6;68;43;2025-04-02T13:00:00-04:00
user_mixed_daytimestress_20250402_7;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_7;52;52;2025-04-02T14:00:00-04:00
user_mixed_daytimestress_20250402_8;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250402_8;46;52;2025-04-02T15:00:00-04:00
user_mixed_daytimestress_20250403_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_1;44;52;2025-04-03T08:00:00-04:00
user_mixed_daytimestress_20250403_2;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_2;57;38;2025-04-03T09:00:00-04:00
user_mixed_daytimestress_20250403_3;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_3;67;27;2025-04-03T10:00:00-04:00
user_mixed_daytimestress_20250403_4;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_4;73;22;2025-04-03T11:00:00-04:00
user_mixed_daytimestress_20250403_5;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_5;79;18;2025-04-03T12:00:00-04:00
user_mixed_daytimestress_20250403_6;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_6;68;33;2025-04-03T13:00:00-04:00
user_mixed_daytimestress_20250403_7;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_7;51;48;2025-04-03T14:00:00-04:00
user_mixed_daytimestress_20250403_8;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250403_8;57;46;2025-04-03T15:00:00-04:00
user_mixed_daytimestress_20250404_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_1;49;54;2025-04-04T08:00:00-04:00
user_mixed_daytimestress_20250404_2;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_2;63;36;2025-04-04T09:00:00-04:00
user_mixed_daytimestress_20250404_3;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_3;70;39;2025-04-04T10:00:00-04:00
user_mixed_daytimestress_20250404_4;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_4;78;25;2025-04-04T11:00:00-04:00
user_mixed_daytimestress_20250404_5;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_5;74;18;2025-04-04T12:00:00-04:00
user_mixed_daytimestress_20250404_6;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_6;64;32;2025-04-04T13:00:00-04:00
user_mixed_daytimestress_20250404_7;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_7;64;44;2025-04-04T14:00:00-04:00
user_mixed_daytimestress_20250404_8;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250404_8;47;52;2025-04-04T15:00:00-04:00
user_mixed_daytimestress_20250405_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_1;22;69;2025-04-05T08:00:00-04:00
user_mixed_daytimestress_20250405_2;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_2;46;43;2025-04-05T09:00:00-04:00
user_mixed_daytimestress_20250405_3;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_3;53;39;2025-04-05T10:00:00-04:00
user_mixed_daytimestress_20250405_4;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_4;64;30;2025-04-05T11:00:00-04:00
user_mixed_daytimestress_20250405_5;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_5;46;55;2025-04-05T12:00:00-04:00
user_mixed_daytimestress_20250405_6;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_6;25;69;2025-04-05T13:00:00-04:00
user_mixed_daytimestress_20250405_7;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_7;26;59;2025-04-05T14:00:00-04:00
user_mixed_daytimestress_20250405_8;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250405_8;31;73;2025-04-05T15:00:00-04:00
user_mixed_daytimestress_20250406_1;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250406_1;34;78;2025-04-06T08:00:00-04:00
user_mixed_daytimestress_20250406_2;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250406_2;32;68;2025-04-06T09:00:00-04:00
user_mixed_daytimestress_20250406_3;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250406_3;36;66;2025-04-06T10:00:00-04:00
user_mixed_daytimestress_20250406_4;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250406_4;55;62;2025-04-06T11:00:00-04:00
user_mixed_daytimestress_20250406_5;user_mixed;user_mixed;2025-07-01T10:00:00Z;user_mixed_daytimestress_20250406_5;40;75;2025-04-06T12:00:00-04:00
